"id","Text","phase","code","subCode","commentLength","label","tags","auto"
"a1f86f80-135e-458b-aafc-3af30d2476f2_main_61b07258-e687-46e0-ad86-0f15a6dc66f0-65","Circulated hole with reduced flow due to sand plugging screens (80 rpm, 1000 - 4350 lpm, 24 - 172 bar). Sand content: 4 %. Worked string while circulating.    Meanwhile changed screens:  Shaker status: top inner/out - Bottom inner/out:  (30/30-84/84) x 4 sh.    During ROV inspection:  Observed a constant small shallow water flow up from 30"" annulus. Some movement on 30"" conductor. Stopped pumps, still constant weak shallow water flow out of 30"" annulus. Monitored 30"" annulus and evaluated situation.","INTCSG1","N","CIR","504","shallowwater","['shallowwater']","['shallowwater']"
"a1f86f80-135e-458b-aafc-3af30d2476f2_main_61b07258-e687-46e0-ad86-0f15a6dc66f0-66","Circulated hole (4400 lpm, 70 rpm, 2-4 kNm) while changing out screens.   Shaker status: top inner/out - Bottom inner/out:  (30/40-84/105) x 2 sh. (40/40-105/120) x 2 sh.    Monitored ""Bulls eyes"" on LMRP/BOP, max inclination observed: 2.5 deg. Slacked off in stages riser tension to 60 tons on well head, still movement and small shallow water flow on 30"" annulus. Evaluated situation.","INTCSG1","N","CIR","386","shallowwater","['shallowwater']","['shallowwater']"
"a1f86f80-135e-458b-aafc-3af30d2476f2_main_d1ce7217-eba5-4b7a-9bde-7a1f1425b215-209","Circulated hole with reduced flow due to sand plugging screens (80 rpm, 1000 - 4350 lpm, 24 - 172 bar). Sand content: 4 %. Worked string while circulating. 
 
Meanwhile changed screens: 
Shaker status: top inner/out - Bottom inner/out: 
(30/30-84/84) x 4 sh. 
 
During ROV inspection: 
Observed a constant small shallow water flow up from 30"" annulus. Some movement on 30"" conductor. Stopped pumps, still constant weak shallow water flow out of 30"" annulus. Monitored 30"" annulus and evaluated situation.","INTCSG1","N","CIR","504","shallowwater","['shallowwater']","['shallowwater']"
"a1f86f80-135e-458b-aafc-3af30d2476f2_main_d1ce7217-eba5-4b7a-9bde-7a1f1425b215-210","Circulated hole (4400 lpm, 70 rpm, 2-4 kNm) while changing out screens. 

Shaker status: top inner/out - Bottom inner/out: 
(30/40-84/105) x 2 sh.
(40/40-105/120) x 2 sh. 
 
Monitored ""Bulls eyes"" on LMRP/BOP, max inclination observed: 2.5 deg. Slacked off in stages riser tension to 60 tons on well head, still movement and small shallow water flow on 30"" annulus. Evaluated situation.","INTCSG1","N","CIR","386","shallowwater","['shallowwater']","['shallowwater']"
"a1f86f80-135e-458b-aafc-3af30d2476f2_main_e6c0055f-9f19-4fa0-99dc-8cf2a752cd9b-118","Laid down cement head.  Moved rig to J-3 slot. Continued DDR reporting on J-3 well.   Note:  ROV observed at 16:30 hrs Shallow water flow coming out from 18.7"" x 30"" casing annulus. Flow was classified as Moderate.","SURF","P","LD","214","shallowwater","['shallowwater']","['shallowwater']"
"a1f86f80-135e-458b-aafc-3af30d2476f2_main_644eef11-e8fb-4201-94ea-97df3d19b3b1-118","Laid down cement head.

Moved rig to J-3 slot. Continued DDR reporting on J-3 well. 

Note: 
ROV observed at 16:30 hrs Shallow water flow coming out from 18.7"" x 30"" casing annulus. Flow was classified as Moderate.","SURF","P","LD","214","shallowwater","['shallowwater']","['shallowwater']"
"a1f86f80-135e-458b-aafc-3af30d2476f2_main_61b07258-e687-46e0-ad86-0f15a6dc66f0-395","Waited on sub sea engineer.   Meanwhile: Mounted pipe handler.  Survey area around 30"" conductor for shallow water flow each hour.","PRODCSG1","N","RUD","130","shallowwater","['shallowwater']","['shallowwater']"
"a1f86f80-135e-458b-aafc-3af30d2476f2_main_d1ce7217-eba5-4b7a-9bde-7a1f1425b215-321","Waited on sub sea engineer. 

Meanwhile: Mounted pipe handler. 
Survey area around 30"" conductor for shallow water flow each hour.","PRODCSG1","N","RUD","130","shallowwater","['shallowwater']","['shallowwater']"
"a1f86f80-135e-458b-aafc-3af30d2476f2_main_77db90c2-fb62-4550-9467-86f57a590363-71","Stopped IKM pump. Flow checked with ROV. Confirmed shallow water flow, classification: Moderate flow.","SURF","P","FLWCHK","101","shallowwater","['shallowwater']","['shallowwater']"
"a1f86f80-135e-458b-aafc-3af30d2476f2_main_c937df13-39f7-4869-bb69-988db51a0c9c-71","Stopped IKM pump. Flow checked with ROV. Confirmed shallow water flow, classification: Moderate flow.","SURF","P","FLWCHK","101","shallowwater","['shallowwater']","['shallowwater']"
