Name,Breed,Color,Size,Energy Level,Gender,Weight (kg),Age (years)
Toby,Boxer,Gray,Large,Low,Male,32,4
Cooper,Pug,Cream,Medium,Low,Female,24,12
Stella,Poodle,Black,Large,Medium,Female,19,14
Chloe,Doberman,Black,Small,High,Male,36,14
Lucy,Chihuahua,White,Small,Medium,Female,34,9
Maggie,Siberian Husky,Spotted,Medium,High,Female,32,4
Sadie,Labrador Retriever,Black,Large,Medium,Male,27,15
Bella,Poodle,Black,Small,Low,Male,40,9
Jack,Bulldog,Gray,Small,Low,Male,14,4
Milo,Poodle,Gray,Large,High,Male,48,3
Max,French Bulldog,Brown,Small,Low,Female,24,10
Stella,Bulldog,Golden,Large,Low,Male,31,1
Stella,Golden Retriever,White,Medium,Medium,Male,5,3
Daisy,Golden Retriever,Cream,Small,Low,Female,47,8
Cooper,Great Dane,Cream,Medium,Medium,Male,32,2
Luna,Border Collie,Brindle,Large,High,Male,25,7
Max,Beagle,Spotted,Large,High,Female,5,6
Toby,Pug,Brindle,Large,Low,Female,6,2
Cooper,Siberian Husky,Black,Medium,Medium,Male,45,3
Lucy,Boxer,Cream,Large,Medium,Male,10,8
Sophie,Pug,White,Small,Low,Female,14,10
Stella,Shih Tzu,White,Large,Low,Female,48,2
Toby,German Shepherd,Brindle,Small,Low,Female,26,13
Chloe,Great Dane,Black,Large,Medium,Female,21,8
Daisy,Dachshund,Gray,Small,High,Male,12,11
Leo,Corgi,Black,Medium,Medium,Female,34,7
Leo,Yorkshire Terrier,Spotted,Large,Medium,Male,35,6
Chloe,German Shepherd,Gray,Small,Medium,Female,48,5
Charlie,Doberman,Golden,Large,Low,Male,12,10
Charlie,Boxer,Brindle,Medium,High,Male,6,3
Jack,Chihuahua,Golden,Medium,Low,Female,15,14
Max,Dachshund,Golden,Medium,Low,Male,14,10
Luna,Poodle,Gray,Small,High,Female,19,8
Toby,French Bulldog,Brown,Large,Low,Male,19,7
Bella,Siberian Husky,Brown,Small,Medium,Male,19,9
Daisy,Yorkshire Terrier,White,Small,Medium,Female,31,7
Toby,Siberian Husky,Black,Large,High,Female,35,7
Chloe,Boxer,Gray,Large,Low,Female,47,13
Chloe,Poodle,Spotted,Medium,Low,Male,50,10
Max,Poodle,Golden,Medium,High,Male,19,11
Sophie,Australian Shepherd,Golden,Small,Low,Male,33,1
Chloe,Great Dane,Cream,Medium,High,Female,26,15
Chloe,Siberian Husky,Gray,Large,High,Female,6,11
Lucy,Shih Tzu,Golden,Small,Low,Female,9,11
Cooper,Beagle,Brindle,Medium,Medium,Female,13,3
Bella,Boxer,Black,Large,Low,Male,15,1
Stella,Golden Retriever,Brindle,Small,High,Male,23,13
Oliver,Border Collie,Brown,Large,Low,Female,43,3
Cooper,Doberman,Gray,Small,High,Female,48,13
Cooper,Boxer,Cream,Medium,Medium,Male,17,13
Chloe,Border Collie,Brindle,Small,High,Male,29,11
Sadie,Boxer,White,Large,High,Female,37,3
Sophie,Bulldog,Golden,Large,Low,Female,29,2
Bella,French Bulldog,Gray,Medium,Low,Female,33,9
Sadie,Bulldog,Cream,Large,Low,Male,32,10
Stella,Corgi,Brown,Small,Medium,Female,12,12
Jack,Australian Shepherd,Brown,Medium,Low,Male,5,11
Max,Bulldog,Golden,Small,Medium,Female,36,12
Toby,Bulldog,Golden,Small,Medium,Female,46,11
Max,Labrador Retriever,Golden,Medium,Low,Female,30,9
Chloe,Great Dane,Black,Small,Low,Male,37,14
Milo,Boxer,Golden,Large,Low,Male,18,4
Rocky,Yorkshire Terrier,Spotted,Large,Low,Female,46,8
Sophie,Labrador Retriever,Brown,Medium,Medium,Male,27,2
Sophie,Australian Shepherd,Gray,Medium,High,Female,33,5
Rocky,Chihuahua,Brindle,Medium,Medium,Female,50,11
